0.2,6.71316,0.112372
0.4,6.2383,0.0465724
0.6,5.7585,-0.0880435
0.8,5.50183,0.0950072
1,5.30621,-0.0437965
1.2,5.09253,0.11917
1.4,4.88332,-0.0738764
1.6,4.55256,0.080229
1.8,4.48571,-0.0920048
2,4.23911,0.0923133
2.2,4.18575,-0.0926194
2.4,3.99116,0.033437
2.6,3.79339,-0.0771507
2.8,3.78371,-0.0105883
3,3.65979,-0.0353549
3.2,3.60279,0.0516608
3.4,3.4394,0.00373507
3.6,3.37838,-0.00633013
3.8,3.27886,0.0249094
4,3.21,-0.0505786
4.2,3.13319,0.0938163
4.4,3.03881,-0.0939305
4.6,3.0271,0.0917522
4.8,2.89677,-0.0925372
5,2.82431,0.0858294
5.2,2.81935,-0.0487587
5.4,2.79847,0.0720402
5.6,2.58315,-0.0807116
5.8,2.60026,0.0475273
6,2.57343,-0.0434636
6.2,2.44326,0.0808671
6.4,2.3768,-0.138006
6.6,2.38505,0.0586315
6.8,2.32995,-0.0631508
7,2.32439,0.0651829
7.2,2.21055,-0.0382218
7.4,2.20421,0.0357026
7.6,2.11634,0.0048582
7.8,2.06797,-0.0563566
8,2.07048,0.0586717
8.2,2.03804,-0.0199845
8.4,1.9571,-0.0284445
8.6,2.00752,-0.080096
8.8,1.86308,-0.0172048
9,1.88915,-0.0137578
9.2,1.87245,0.0736967
9.4,1.78728,-0.0302914
9.6,1.70368,0.00971967
9.8,1.78817,-0.0546426
10,1.7206,0.0207567
10.2,1.63677,-0.0793331
10.4,1.77456,-0.00459021
10.6,1.65084,0.0239162
10.8,1.64235,-0.0217951
11,1.53438,-0.0555283
11.2,1.5663,-0.0250342
11.4,1.52529,0.0325076
11.6,1.4116,0.0108848
11.8,1.45861,-0.0142128
12,1.43192,0.0426486
12.2,1.4811,0.0415471
12.4,1.49769,-0.0711203
12.6,1.35843,0.00719571
12.8,1.47883,-0.0181526
13,1.3318,0.0724019
13.2,1.40402,-0.0606616
13.4,1.33098,-0.0293313
13.6,1.24283,-0.082262
13.8,1.28884,0.0306184
14,1.23711,-0.0989594
14.2,1.27679,0.0755372
14.4,1.1905,-0.0722396
14.6,1.21642,0.0674808
14.8,1.15975,-0.0357496
15,1.14531,0.0623457
15.2,1.10624,0.0523331
15.4,1.18455,-0.0270489
15.6,1.09905,0.0410444
15.8,1.12959,0.0395523
16,1.12954,-0.0337138
16.2,1.15611,-0.0707314
16.4,0.998983,0.0696647
16.6,1.0549,-0.043658
16.8,1.10359,-0.0467129
17,1.02285,-0.0279036
17.2,1.03886,0.0875238
17.4,0.977881,-0.0587881
17.6,0.928653,0.10515
17.8,0.991231,-0.0263308
18,0.970203,0.05236
18.2,0.934175,0.00650886
18.4,0.819219,0.0456592
18.6,0.926627,-0.0856189
18.8,0.909648,0.0454712
19,0.920885,-0.00285551
19.2,0.892935,-0.00051108
19.4,0.828563,-0.0242961
19.6,0.974239,0.0257199
19.8,0.866384,0.0394095
20,0.916101,0.0695936
20.2,0.859525,0.0743007
20.4,0.819332,-0.045695
20.6,0.858859,0.0849505
20.8,0.749778,-0.0383076
21,0.795887,0.0421717
21.2,0.856158,-0.0465691
21.4,0.765351,0.0338426
21.6,0.835479,-0.0103498
21.8,0.830844,0.0138239
22,0.730949,-0.0482933
22.2,0.80869,0.0289115
22.4,0.764086,-0.0484213
22.6,0.731197,-0.0506609
22.8,0.688249,0.03135
23,0.787204,-0.027965
23.2,0.681706,0.0671799
23.4,0.788062,0.0144152
23.6,0.701331,-0.0365924
23.8,0.714829,0.0722931
24,0.666361,0.0411694
24.2,0.629911,0.00973463
24.4,0.723175,0.0565403
24.6,0.65899,0.0414675
24.8,0.673776,0.0622609
25,0.663394,0.0138111
25.2,0.709509,0.149616
25.4,0.602763,-0.0335225
25.6,0.64281,0.045033
25.8,0.684576,0.0468135
26,0.667516,0.0274836
26.2,0.628255,0.00675139
26.4,0.567361,0.087294
26.6,0.637897,0.00501436
26.8,0.585863,-0.0187015
27,0.634437,0.029346
27.2,0.592082,-0.0186704
27.4,0.580587,-0.0233073
27.6,0.599869,0.00947773
27.8,0.578228,-0.0918118
28,0.636124,-0.00748473
28.2,0.619069,0.0101503
28.4,0.53805,-0.0504942
28.6,0.595535,0.0103285
